name,total_fat,saturated_fat,cholesterol,sodium,choline,folate,folic_acid,niacin,pantothenic_acid,riboflavin,thiamin,vitamin_a,vitamin_a_rae,carotene_alpha,carotene_beta,cryptoxanthin_beta,vitamin_b12,vitamin_b6,vitamin_c,vitamin_d,vitamin_e,tocopherol_alpha,vitamin_k,calcium,copper,irom,magnesium,manganese,phosphorous,potassium,selenium,zink,protein,alanine,arginine,aspartic_acid,cystine,glutamic_acid,glycine,histidine,hydroxyproline,isoleucine,leucine,lysine,methionine,phenylalanine,proline,serine,threonine,tryptophan,tyrosine,valine,carbohydrate,fiber,sugars,fructose,galactose,glucose,lactose,maltose,sucrose,fat,saturated_fatty_acids,monounsaturated_fatty_acids,polyunsaturated_fatty_acids,fatty_acids_total_trans,alcohol,ash,caffeine,theobromine,water,lutein_zeaxanthin_mcar,lutein_zeaxanthin_mar,lutein_zeaxanthin
"Lima beans, solids and liquids, regular pack, canned, immature seeds",0.3,0.1,0,252.0,0.0,16.0,0.0,0.532,0.095,0.043,0.029,150.0,8.0,0.0,0.0,0.0,0.0,0.062,7.3,0.0,0.0,0.0,0.0,28.0,0.162,1.61,34.0,0.7,71.0,285.0,1.1,0.64,4.07,0.154,0.272,0.436,0.049,0.523,0.163,0.138,0.0,0.261,0.319,0.268,0.04,0.2,0.068,0.254,0.173,0.054,0.131,0.254,13.33,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.066,0.016,0.139,0.0,0.0,1.14,0.0,0.0,81.17,0.0,0.0,0.0
"Cereals ready-to-eat, OAT BLENDERS with honey & almonds, MALT-O-MEAL",4.9,0.6,0,453.0,0.0,667.0,648.0,23.51,0.0,1.99,2.09,1876.0,0.0,0.0,0.0,0.0,7.55,2.69,29.6,144.0,1.37,1.37,0.0,33.0,0.0,41.38,61.0,0.0,204.0,240.0,0.0,17.87,7.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.26,6.1,20.26,0.0,0.0,0.0,0.0,0.0,0.0,4.88,0.62,2.25,1.35,0.0,0.0,6.96,0.0,0.0,3.1,0.0,0.0,0.0
"Lamb, raw, separable lean and fat, tenderloin, imported, New Zealand",4.2,2.1,69,49.0,0.0,0.0,0.0,7.262,0.862,0.214,0.075,6.0,2.0,0.0,0.0,0.0,1.87,0.246,0.0,1.0,0.41,0.41,0.0,4.0,0.135,1.62,26.0,0.012,221.0,379.0,5.0,2.15,20.43,1.016,1.375,0.0,0.267,2.854,0.874,0.433,0.0,0.915,1.578,1.784,0.667,0.805,0.655,0.697,0.975,0.226,0.708,1.041,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.22,2.11,1.61,0.48,69.0,0.0,1.34,0.0,0.0,74.04,0.0,0.0,0.0
"Grapes, raw, red or green (European type, such as Thompson seedless)",0.2,0.1,0,2.0,5.6,2.0,0.0,0.188,0.05,0.07,0.069,66.0,3.0,1.0,39.0,0.0,0.0,0.086,3.2,0.0,0.19,0.19,14.6,10.0,0.127,0.36,7.0,0.071,20.0,191.0,0.1,0.07,0.72,0.022,0.13,0.038,0.01,0.081,0.016,0.022,0.0,0.011,0.022,0.027,0.009,0.019,0.08,0.022,0.022,0.011,0.01,0.022,18.1,0.9,15.48,8.13,0.0,7.2,0.0,0.0,0.15,0.16,0.054,0.007,0.048,0.0,0.0,0.48,0.0,0.0,80.54,,,72.0
"Babyfood, toddler fortified, instant, dry, oatmeal cereal with fruit",7.1,1.6,0,0.0,31.6,18.0,0.0,9.6,0.0,0.86,0.75,89.0,4.0,12.0,41.0,13.0,0.0,0.38,2.7,0.0,2.48,2.48,7.5,286.0,0.34,14.3,107.0,2.8,429.0,346.0,20.5,5.7,10.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.1,7.8,11.09,0.0,0.0,0.0,0.0,0.0,0.0,7.05,1.572,3.008,2.29,0.0,0.0,2.95,0.0,0.0,5.4,,32.0,32.0
"Chicken, roasted, cooked, meat and skin and giblets and neck, capons",12.0,3.3,103,50.0,0.0,26.0,0.0,8.415,1.184,0.219,0.07,734.0,220.0,0.0,0.0,0.0,0.36,0.41,0.4,0.0,0.0,0.0,0.0,15.0,0.081,1.79,23.0,0.031,239.0,243.0,19.3,1.94,28.35,1.637,1.777,2.534,0.377,4.151,1.799,0.828,0.0,1.419,2.077,2.302,0.753,1.112,1.366,1.009,1.178,0.318,0.916,1.386,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.67,3.28,4.71,2.52,103.0,0.0,1.01,0.0,0.0,59.25,0.0,0.0,0.0
"Agutuk, fish/berry with seal oil (Alaskan ice cream) (Alaska Native)",32.0,7.7,10,21.0,0.0,3.0,0.0,0.55,0.02,0.05,0.04,696.0,0.0,0.0,0.0,0.0,0.0,0.01,2.9,0.0,2.36,2.36,0.0,8.0,0.03,0.3,7.0,0.13,46.0,70.0,0.0,0.18,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.4,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.8,7.7,14.4,8.4,10.0,0.0,4.1,0.0,0.0,47.3,,,0.0
"Cereals ready-to-eat, Reduced Sugar Frosted Flakes Cereal, KELLOGG'S",0.4,0.1,0,528.0,6.7,333.0,314.0,16.7,2.67,1.41,1.25,1667.0,481.0,5.0,23.0,43.0,5.0,1.66,20.0,133.0,0.08,0.08,0.0,5.0,0.244,15.0,29.0,0.116,72.0,126.0,8.9,0.69,5.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.3,10.1,23.89,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.1,0.1,0.2,0.0,0.0,3.7,0.0,0.0,3.0,339.0,339.0,339.0
"Cereals ready-to-eat, KELLOGG'S RICE KRISPIES TREATS Cereal, KELLOGG",4.2,0.9,1,567.0,2.5,333.0,329.0,16.7,0.0,1.41,1.25,1667.0,500.0,0.0,0.0,0.0,5.0,1.66,20.0,133.0,0.36,0.36,1.0,10.0,0.107,6.0,21.0,0.0,62.0,51.0,5.7,0.69,4.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.59,0.4,29.6,0.0,0.0,0.0,0.0,0.0,0.0,4.19,0.89,1.2,0.2,1.0,0.0,2.4,0.0,0.0,3.5,0.0,0.0,0.0
"Pork, roasted, canned, extra lean (approximately 4% fat), ham, cured",4.9,1.6,30,1135.0,0.0,5.0,0.0,4.892,0.57,0.247,1.035,0.0,0.0,0.0,0.0,0.0,0.71,0.45,0.0,0.0,0.0,0.0,0.0,6.0,0.05,0.92,21.0,0.024,209.0,348.0,17.4,2.23,21.16,1.208,1.31,1.953,0.25,3.124,1.036,0.836,0.0,0.911,1.645,1.818,0.552,0.816,0.9,0.823,0.944,0.24,0.694,0.948,0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.88,1.6,2.49,0.44,30.0,0.0,4.0,0.0,0.0,69.45,0.0,0.0,0.0
"Pork, roasted, regular (approximately 11% fat), boneless, ham, cured",9.0,3.1,59,1500.0,88.4,3.0,0.0,6.15,0.72,0.33,0.73,0.0,0.0,0.0,0.0,0.0,0.7,0.31,0.0,32.0,0.31,0.31,0.0,8.0,0.145,1.34,22.0,0.041,281.0,409.0,19.8,2.47,22.62,1.171,1.289,1.879,0.298,3.234,1.032,0.711,0.0,0.87,1.574,1.682,0.524,0.857,0.847,0.813,0.882,0.238,0.651,0.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.02,3.12,4.44,1.41,59.0,0.0,3.96,0.0,0.0,64.54,0.0,0.0,0.0
"Beef, pan-browned, cooked, crumbles, 70% lean meat / 30% fat, ground",18.0,6.9,89,96.0,78.3,13.0,0.0,4.859,0.807,0.191,0.047,9.0,3.0,0.0,0.0,0.0,2.8,0.428,0.0,2.0,0.12,0.12,3.0,41.0,0.074,2.48,20.0,0.012,202.0,328.0,21.6,5.95,25.56,1.6,1.662,2.3,0.263,3.83,1.734,0.83,0.0,1.129,1.992,2.116,0.657,0.996,1.302,1.023,0.989,0.13,0.786,1.255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.86,6.942,8.37,0.466,89.0,0.0,1.04,0.0,0.0,55.78,0.0,0.0,0.0
"MORNINGSTAR FARMS Roasted Garlic & Quinoa Burger, unprepared, frozen",12.0,1.2,1,522.0,0.0,7.0,0.0,0.3,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,66.0,0.0,2.0,0.0,0.0,101.0,553.0,0.0,0.4,10.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.8,10.1,2.1,0.0,0.0,0.0,0.0,0.0,0.0,12.1,1.2,7.5,2.9,1.0,0.0,1.3,0.0,0.0,58.1,,,0.0
