name,serving_size,total_fat,saturated_fat,cholesterol,sodium,choline,folate,folic_acid,niacin,pantothenic_acid,riboflavin,thiamin,vitamin_a,vitamin_a_rae,carotene_alpha,carotene_beta,cryptoxanthin_beta,lutein_zeaxanthin,vitamin_b12,vitamin_b6,vitamin_c,vitamin_d,vitamin_e,tocopherol_alpha,vitamin_k,calcium,copper,irom,magnesium,manganese,phosphorous,potassium,selenium,zink,protein,alanine,arginine,aspartic_acid,cystine,glutamic_acid,glycine,histidine,hydroxyproline,isoleucine,leucine,lysine,methionine,phenylalanine,proline,serine,threonine,tryptophan,tyrosine,valine,carbohydrate,fiber,sugars,fructose,galactose,glucose,lactose,maltose,sucrose,fat,saturated_fatty_acids,monounsaturated_fatty_acids,polyunsaturated_fatty_acids,fatty_acids_total_trans,alcohol,ash,caffeine,theobromine,water
"McDONALD'S, BIG MAC (without Big Mac Sauce)",100,12.0,4.2,35,454.0,0.0,50.0,0.0,3.693,0.0,0.223,0.19,186.0,0.0,0.0,0.0,0.0,0.0,0.94,0.0,0.4,0.0,0.0,0.0,0.0,124.0,0.105,2.14,21.0,0.218,130.0,192.0,0.0,2.07,12.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.01,1.7,3.7,1.74,0.0,0.96,0.35,0.47,0.21,11.57,4.162,3.802,0.334,35.0,0.0,1.91,0.0,0.0,52.76
"MURRAY, Butter Cookies, COOKIE JAR CLASSICS",100,16.0,5.1,0,441.0,0.0,107.0,0.0,4.1,0.0,0.34,0.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3,15.0,0.0,75.0,75.0,0.0,0.5,7.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.3,1.9,22.3,0.0,0.0,0.0,0.0,0.0,0.0,15.7,5.1,3.5,5.8,0.0,0.0,0.0,0.0,0.0,2.5
"KELLOGG'S, Homestyle, Waffles, EGGO Protein",100,10.0,2.5,29,562.0,0.0,57.0,0.0,5.7,0.0,0.49,0.43,1429.0,429.0,0.0,0.0,0.0,0.0,1.7,0.57,0.0,1.0,3.6,3.6,0.0,357.0,0.0,6.4,18.0,0.0,286.0,113.0,0.0,0.4,10.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,1.2,2.7,0.0,0.0,0.0,0.0,0.0,0.0,10.2,2.5,2.6,4.2,29.0,0.0,0.0,0.0,0.0,36.9
"Babyfood, strained, green beans, vegetables",100,0.2,,0,7.0,22.6,24.0,0.0,0.361,0.041,0.079,0.026,355.0,18.0,15.0,197.0,17.0,526.0,0.0,0.038,0.3,0.0,0.07,0.07,42.4,39.0,0.03,0.67,20.0,0.265,41.0,146.0,0.1,0.22,1.2,0.06,0.072,0.254,0.011,0.171,0.053,0.036,0.0,0.058,0.085,0.065,0.019,0.053,0.066,0.069,0.055,0.015,0.046,0.071,6.29,2.2,1.88,0.89,0.0,0.71,0.0,0.0,0.28,0.17,0.039,0.0,0.116,0.0,0.0,0.49,0.0,0.0,91.85
"Alcoholic Beverage, Syrah, red, table, wine",100,0.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.5,0.32,0.0,0.0,86.53
"Snacks, sesame seed, brown rice, rice cakes",100,3.8,0.5,0,227.0,0.0,18.0,0.0,7.205,1.461,0.085,0.048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.155,3.0,0.0,0.0,0.0,0.0,12.0,0.39,1.58,136.0,4.299,375.0,290.0,24.1,3.0,7.6,0.44,0.595,0.71,0.094,1.55,0.38,0.193,0.0,0.321,0.625,0.288,0.174,0.391,0.355,0.394,0.279,0.1,0.286,0.444,81.5,5.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8,0.54,1.1,1.15,0.0,0.0,1.2,0.0,0.0,5.9
"Spinach, with salt, drained, boiled, cooked",100,0.3,,0,306.0,19.7,146.0,0.0,0.49,0.145,0.236,0.095,10481.0,524.0,0.0,6288.0,0.0,11308.0,0.0,0.242,9.8,0.0,2.08,2.08,493.6,136.0,0.174,3.57,87.0,0.935,56.0,466.0,1.5,0.76,2.97,0.147,0.168,0.25,0.035,0.357,0.14,0.066,0.0,0.152,0.231,0.182,0.055,0.134,0.116,0.107,0.127,0.04,0.113,0.168,3.75,2.4,0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.043,0.006,0.109,0.0,0.0,1.81,0.0,0.0,91.21
"Salsify, with salt, drained, boiled, cooked",100,0.2,,0,252.0,25.9,15.0,0.0,0.392,0.276,0.173,0.056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.218,4.6,0.0,0.19,0.19,0.3,47.0,0.07,0.55,18.0,0.21,56.0,283.0,0.6,0.3,2.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.36,3.1,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.74,0.0,0.0,81.0
"Fireweed, raw (Alaska Native), young leaves",100,0.8,,0,50.0,0.0,0.0,0.0,1.4,0.0,0.86,0.04,5720.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0,0.0,0.0,0.0,0.0,13.0,0.0,2.1,0.0,0.0,166.0,251.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.3,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,2.7,0.0,0.0,87.2
"Sauce, ready to serve, mild, red, enchilada",100,0.9,0.1,0,547.0,0.9,5.0,0.0,0.388,0.082,0.055,0.04,717.0,36.0,74.0,362.0,62.0,103.0,0.0,0.059,0.3,0.0,0.7,0.7,2.8,7.0,0.031,0.67,6.0,0.047,11.0,101.0,0.4,0.09,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.87,0.5,1.83,0.81,0.0,0.59,0.0,0.0,0.43,0.91,0.111,0.068,0.276,0.0,0.0,1.82,0.0,0.0,91.78
