name,serving_size,total_fat,saturated_fat,cholesterol,sodium,choline,folate,folic_acid,niacin,pantothenic_acid,riboflavin,thiamin,vitamin_a,vitamin_a_rae,carotene_alpha,carotene_beta,cryptoxanthin_beta,lutein_zeaxanthin,vitamin_b12,vitamin_b6,vitamin_c,vitamin_d,vitamin_e,tocopherol_alpha,vitamin_k,calcium,copper,irom,magnesium,manganese,phosphorous,potassium,selenium,zink,protein,alanine,arginine,aspartic_acid,cystine,glutamic_acid,glycine,histidine,hydroxyproline,isoleucine,leucine,lysine,methionine,phenylalanine,proline,serine,threonine,tryptophan,tyrosine,valine,carbohydrate,fiber,sugars,fructose,galactose,glucose,lactose,maltose,sucrose,fat,saturated_fatty_acids,monounsaturated_fatty_acids,polyunsaturated_fatty_acids,fatty_acids_total_trans,alcohol,ash,caffeine,theobromine,water
"Babyfood, strained, vegetables chicken, dinner",100,1.7,0.5,11,24.0,9.7,5.0,0.0,0.72,0.107,0.052,0.032,4132.0,207.0,938.0,2009.0,0.0,72.0,0.01,0.072,0.1,3.0,0.32,0.32,3.4,27.0,0.07,0.53,14.0,0.15,47.0,158.0,2.8,0.48,2.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.42,2.1,1.58,0.27,0.0,0.32,0.0,0.0,0.99,1.73,0.496,0.712,0.374,11.0,0.0,0.49,0.0,0.0,86.9
"Cereals ready-to-eat, Honey KIX, GENERAL MILLS",100,3.9,0.5,0,582.0,16.4,849.0,830.0,21.2,0.0,2.29,2.29,3030.0,868.0,49.0,74.0,0.0,1097.0,6.4,2.72,27.3,182.0,0.0,0.0,0.2,455.0,0.12,38.2,49.0,0.0,182.0,212.0,13.1,18.2,6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.0,8.3,18.2,0.0,0.0,0.0,0.0,0.0,0.0,3.9,0.535,1.002,1.5,0.0,0.0,3.8,0.0,0.0,2.37
"Turkey, raw, (light and dark), skin from whole",100,39.0,10.0,122,62.0,36.7,4.0,0.0,3.905,0.495,0.11,0.021,284.0,85.0,0.0,0.0,0.0,0.0,0.88,0.166,0.0,46.0,0.09,0.09,0.0,13.0,0.053,0.85,11.0,0.012,120.0,124.0,10.1,1.1,12.96,0.88,0.814,0.782,0.098,1.303,1.683,0.217,0.89,0.25,0.608,0.673,0.217,0.326,1.205,0.423,0.293,0.065,0.228,0.358,0.16,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.1,38.93,10.43,13.908,10.922,122.0,0.0,0.52,0.0,0.0,48.38
"Cereals ready-to-eat, BOO BERRY, GENERAL MILLS",100,4.3,0.5,0,458.0,10.9,303.0,284.0,15.19,0.0,1.29,1.1,1515.0,421.0,40.0,61.0,0.0,970.0,4.5,1.51,18.2,121.0,0.58,0.58,1.6,303.0,0.129,13.6,48.0,0.0,182.0,163.0,6.5,11.39,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.4,4.2,27.29,0.0,0.0,0.0,0.0,0.0,0.0,4.3,0.5,2.09,1.39,0.0,0.0,2.9,0.0,0.0,1.89
"Gelatin desserts, prepared with water, dry mix",100,0.0,,0,75.0,0.5,1.0,0.0,0.001,0.002,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.024,0.02,1.0,0.002,22.0,1.0,1.1,0.01,1.22,0.128,0.106,0.084,0.0,0.14,0.305,0.011,0.0,0.019,0.039,0.056,0.01,0.028,0.197,0.042,0.024,0.0,0.005,0.033,14.19,0.0,13.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,84.39
"Cereals ready-to-eat, CORN BURSTS, MALT-O-MEAL",100,0.4,0.1,0,855.0,4.7,323.0,289.0,32.25,0.0,2.74,2.42,2419.0,700.0,30.0,46.0,0.0,780.0,4.84,3.23,48.4,129.0,0.07,0.07,0.0,5.0,0.058,5.8,4.0,0.0,37.0,71.0,6.5,4.84,3.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.59,1.9,46.88,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.093,0.084,0.157,0.0,0.0,3.24,0.0,0.0,2.5
"Ice creams, All Natural Light Vanilla, BREYERS",100,4.6,2.9,15,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,437.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,0.0,0.0,0.0,0.0,169.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,4.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.3,0.2,22.78,0.0,0.0,0.0,0.0,0.0,0.0,4.59,2.86,0.0,0.0,15.0,0.0,0.38,0.0,0.0,64.89
"Cereals ready-to-eat, KELLOGG'S CINNAMON JACKS",100,7.8,1.3,0,451.0,0.0,357.0,338.0,17.89,0.0,1.51,1.34,1786.0,0.0,0.0,0.0,0.0,0.0,5.0,1.78,54.0,143.0,0.0,0.0,0.0,20.0,0.0,16.1,43.0,0.0,96.0,155.0,0.0,5.4,5.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.0,9.0,33.9,0.0,0.0,0.0,0.0,0.0,0.0,7.8,1.29,3.29,2.7,0.0,0.0,1.0,0.0,0.0,2.29
"T.G.I. FRIDAY'S, classic sirloin steak (10 oz)",100,7.8,2.5,95,232.0,0.0,0.0,0.0,5.743,0.663,0.403,0.091,37.0,11.0,0.0,0.0,0.0,0.0,2.63,0.739,0.0,0.0,0.77,0.77,0.0,7.0,0.112,2.87,28.0,0.026,240.0,379.0,30.6,5.54,31.02,1.851,2.174,2.97,0.332,4.892,1.488,1.177,0.0,1.539,2.631,2.699,0.828,1.314,1.308,1.182,1.451,0.415,1.138,1.604,0.47,0.0,0.46,0.0,0.0,0.46,0.0,0.0,0.0,7.83,2.451,2.636,0.676,95.0,0.0,1.44,0.0,0.0,59.24
"Syrups, and sugar, refiner, corn, table blends",100,0.0,,0,71.0,0.0,3.0,0.0,0.02,0.035,0.047,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009,0.0,0.0,0.0,0.0,0.0,23.0,0.06,0.74,9.0,0.088,8.0,63.0,0.8,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,15.6
"Pasta, as purchased, plain, fresh-refrigerated",100,2.3,0.3,73,26.0,0.0,176.0,154.0,3.35,0.535,0.439,0.705,47.0,14.0,0.0,0.0,0.0,0.0,0.31,0.093,0.0,0.0,0.0,0.0,0.0,15.0,0.228,3.35,46.0,0.547,163.0,179.0,0.0,1.22,11.31,0.327,0.411,0.456,0.315,4.022,0.353,0.226,0.0,0.431,0.763,0.214,0.174,0.542,1.227,0.526,0.295,0.143,0.293,0.476,54.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3,0.328,0.271,0.942,73.0,0.0,0.66,0.0,0.0,31.0
"Cheese, low fat, American, pasteurized process",100,7.0,4.4,35,1789.0,36.2,9.0,0.0,0.08,0.0,0.39,0.03,215.0,57.0,0.0,18.0,0.0,0.0,0.77,0.08,0.0,5.0,0.27,0.27,2.7,684.0,0.033,0.43,24.0,0.0,827.0,180.0,16.6,3.32,24.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0.59,0.0,0.0,0.0,0.0,0.0,0.0,7.0,4.41,2.005,0.222,35.0,0.0,6.0,0.0,0.0,58.9
"MOTHER'S, Old Fashioned Chocolate Chip Cookies",100,24.0,9.1,10,383.0,0.0,62.0,0.0,2.4,0.0,0.21,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,9.0,0.0,44.0,125.0,0.0,0.3,5.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,2.2,34.0,0.0,0.0,0.0,0.0,0.0,0.0,24.1,9.1,5.9,7.4,10.0,0.0,0.0,0.0,0.0,3.3
"Candies, crispy bar with peanut butter filling",100,31.0,13.0,5,264.0,28.2,40.0,40.0,3.64,0.44,0.1,0.13,58.0,15.0,0.0,4.0,0.0,45.0,0.15,0.08,0.6,0.0,2.77,2.77,5.9,70.0,0.2,1.3,49.0,0.0,144.0,295.0,0.7,0.99,9.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.53,3.3,40.33,0.0,0.0,0.0,0.0,0.0,0.0,31.34,12.959,10.82,4.68,5.0,0.0,2.0,0.0,48.0,1.6
"KELLOGG'S, Buttermilk, FIBERPLUS Waffles, EGGO",100,7.9,2.1,20,559.0,0.0,59.0,0.0,5.7,0.0,0.49,0.43,1429.0,429.0,0.0,0.0,0.0,0.0,1.7,0.6,0.0,2.0,0.0,0.0,0.0,500.0,0.0,6.4,14.0,0.0,311.0,66.0,0.0,0.4,4.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.8,13.2,4.7,0.0,0.0,0.0,0.0,0.0,0.0,7.9,2.1,2.0,3.2,20.0,0.0,0.0,0.0,0.0,41.0
"Pancakes, prepared, incomplete, dry mix, plain",100,7.7,2.0,71,505.0,0.0,36.0,25.0,1.232,0.506,0.311,0.201,250.0,71.0,0.0,0.0,0.0,0.0,0.34,0.105,0.6,0.0,0.0,0.0,0.0,215.0,0.047,1.3,22.0,0.14,313.0,199.0,9.8,0.75,7.8,0.321,0.341,0.543,0.141,1.803,0.241,0.187,0.0,0.375,0.657,0.405,0.18,0.384,0.666,0.435,0.298,0.095,0.293,0.428,28.9,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.7,2.045,2.07,2.923,71.0,0.0,2.6,0.0,0.0,52.9
"Babyfood, strained, pears and pineapple, fruit",100,0.1,,0,0.0,3.2,3.0,0.0,0.207,0.089,0.028,0.021,29.0,1.0,0.0,17.0,1.0,15.0,0.0,0.016,27.5,0.0,0.04,0.04,1.6,10.0,0.14,0.25,7.0,0.0,9.0,116.0,0.4,0.07,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.9,2.6,7.79,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.007,0.016,0.029,0.0,0.0,0.3,0.0,0.0,88.5
"Babyfood, strained, apple and raspberry, fruit",100,0.2,,0,0.0,3.5,1.0,0.0,0.106,0.09,0.028,0.014,22.0,1.0,0.0,10.0,7.0,21.0,0.0,0.034,26.8,0.0,0.21,0.21,0.8,5.0,0.054,0.22,4.0,0.0,8.0,80.0,0.3,0.03,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.6,2.1,12.96,0.0,0.0,0.0,0.0,0.0,0.73,0.2,0.033,0.008,0.062,0.0,0.0,0.2,0.0,0.0,83.8
"Egg, glucose reduced, stabilized, dried, whole",100,44.0,13.0,2017,548.0,0.0,193.0,0.0,0.259,6.71,1.232,0.325,2050.0,616.0,0.0,0.0,0.0,0.0,10.51,0.42,0.0,0.0,0.0,0.0,0.0,222.0,0.27,8.28,49.0,0.15,715.0,515.0,121.1,5.71,48.17,2.813,3.083,4.778,1.148,6.135,1.603,1.164,0.0,3.014,4.231,3.252,1.557,2.721,1.911,3.661,2.366,0.771,2.004,3.468,2.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.95,13.198,17.564,5.713,2017.0,0.0,3.63,0.0,0.0,1.87
"Pork, raw or unheated, breakfast strips, cured",100,37.0,13.0,69,987.0,0.0,3.0,0.0,3.65,0.476,0.18,0.475,0.0,0.0,0.0,0.0,0.0,0.0,0.99,0.21,27.2,0.0,0.0,0.0,0.0,8.0,0.063,0.94,12.0,0.03,137.0,204.0,25.0,1.66,11.74,0.657,0.717,0.969,0.12,1.611,0.839,0.338,0.0,0.477,0.817,0.871,0.259,0.453,0.623,0.441,0.451,0.113,0.342,0.565,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.16,12.91,16.79,5.55,69.0,0.0,3.0,0.0,0.0,47.41
"CAMPBELL'S CHUNKY Soups, Savory Pot Roast Soup",100,0.4,0.2,4,322.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1429.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,8.0,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,2.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.16,0.8,1.63,0.0,0.0,0.0,0.0,0.0,0.0,0.41,0.204,0.0,0.0,4.0,0.0,1.48,0.0,0.0,87.3
"CAMPBELL'S CHUNKY Soups, Savory Vegetable Soup",100,0.4,0.2,0,314.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1633.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,1.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.98,1.6,2.45,0.0,0.0,0.0,0.0,0.0,0.0,0.41,0.204,0.0,0.0,0.0,0.0,1.19,0.0,0.0,88.2
"Cereals ready-to-eat, fortified, puffed, wheat",100,1.2,0.2,0,4.0,0.0,32.0,0.0,35.3,0.518,1.8,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.0,28.0,0.409,31.7,145.0,1.755,355.0,348.0,123.1,2.36,14.7,0.548,0.712,0.823,0.289,4.972,0.576,0.38,0.0,0.626,1.064,0.405,0.257,0.762,1.537,0.808,0.45,0.226,0.445,0.702,79.6,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.2,0.0,0.0,0.0,0.0,1.5,0.0,0.0,3.0
"OLIVE GARDEN, chicken parmigiana without pasta",100,11.0,2.1,40,625.0,0.0,16.0,0.0,5.58,0.955,0.163,0.057,259.0,37.0,0.0,97.0,0.0,59.0,0.34,0.183,0.0,0.0,1.59,1.59,0.0,95.0,0.062,0.58,25.0,0.129,236.0,277.0,24.0,0.86,15.33,0.732,0.87,1.246,0.188,2.641,0.584,0.485,0.02,0.663,1.227,1.266,0.376,0.999,1.088,0.643,0.603,0.188,0.475,0.742,12.28,0.9,2.68,0.72,0.0,1.01,0.51,0.44,0.0,11.23,2.113,5.803,2.02,40.0,0.0,2.54,0.0,0.0,58.62
"Puddings, with no added salt, dry mix, tapioca",100,0.1,,0,8.0,0.0,0.0,0.0,0.004,0.015,0.006,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.032,0.0,0.0,0.0,0.0,0.0,4.0,0.029,0.12,2.0,0.033,4.0,5.0,0.1,0.08,0.1,0.006,0.012,0.009,0.003,0.024,0.004,0.003,0.0,0.004,0.009,0.004,0.002,0.004,0.007,0.004,0.004,0.002,0.003,0.005,94.3,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,1.4,0.0,0.0,4.0
"Beverages, lemon, ready-to-drink, tea, ARIZONA",100,0.0,,0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.005,0.0,1.0,0.16,1.0,10.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.77,0.0,9.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,5.0,0.0,90.15
"Chicken, pan-browned, cooked, crumbles, ground",100,11.0,3.1,107,75.0,59.0,2.0,0.0,7.107,1.327,0.302,0.121,0.0,0.0,0.0,0.0,0.0,0.0,0.51,0.538,0.0,0.0,0.39,0.39,2.1,8.0,0.062,0.93,28.0,0.016,234.0,677.0,14.3,1.92,23.28,1.323,1.505,2.156,0.251,3.484,1.118,0.706,0.126,1.06,1.816,2.014,0.596,0.912,0.878,0.976,0.97,0.196,0.806,1.102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.92,3.11,4.879,2.08,107.0,0.0,1.57,0.0,0.0,64.92
"Milk, with added vitamin A, evaporated, canned",100,7.6,4.6,29,106.0,0.0,8.0,0.0,0.194,0.638,0.316,0.047,397.0,0.0,0.0,0.0,0.0,0.0,0.16,0.05,1.9,0.0,0.0,0.0,0.0,261.0,0.016,0.19,24.0,0.006,203.0,303.0,2.3,0.77,6.81,0.235,0.247,0.517,0.063,1.426,0.144,0.185,0.0,0.412,0.667,0.54,0.171,0.329,0.66,0.37,0.307,0.096,0.329,0.456,10.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.56,4.591,2.335,0.245,29.0,0.0,1.55,0.0,0.0,74.04
"Seeds, roasted (glandless), cottonseed kernels",100,36.0,9.7,0,25.0,0.0,233.0,0.0,3.0,0.456,0.255,0.75,442.0,22.0,0.0,0.0,0.0,0.0,0.0,0.782,9.0,0.0,0.0,0.0,0.0,100.0,1.2,5.4,440.0,2.181,800.0,1350.0,0.0,6.0,32.59,1.512,4.402,3.547,0.855,8.158,1.58,1.027,0.0,1.174,2.226,1.654,0.529,2.029,1.389,1.629,1.205,0.492,1.174,1.672,21.9,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.29,9.699,6.919,18.068,0.0,0.0,4.58,0.0,0.0,4.65
"Beef, raw or unheated, breakfast strips, cured",100,39.0,16.0,82,955.0,0.0,5.0,0.0,2.97,0.217,0.12,0.06,0.0,0.0,0.0,0.0,0.0,0.0,1.64,0.17,24.0,0.0,0.0,0.0,0.0,4.0,0.058,1.23,11.0,0.01,100.0,153.0,25.9,2.39,12.5,0.9,0.772,1.224,0.16,2.036,1.044,0.398,0.0,0.54,0.918,0.958,0.29,0.45,0.9,0.504,0.472,0.114,0.408,0.55,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.8,15.95,18.68,2.19,82.0,0.0,2.8,0.0,0.0,45.2
"Salsify, without salt, drained, boiled, cooked",100,0.2,,0,16.0,25.9,15.0,0.0,0.392,0.276,0.173,0.056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.218,4.6,0.0,0.19,0.19,0.3,47.0,0.07,0.55,18.0,0.21,56.0,283.0,0.6,0.3,2.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.36,3.1,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.041,0.003,0.074,0.0,0.0,0.74,0.0,0.0,81.0
"CAMPBELL'S CHUNKY, Classic Chicken Noodle Soup",100,1.3,0.4,8,325.0,0.0,0.0,0.0,1.352,0.0,0.023,0.017,0.0,0.0,20.0,198.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.025,0.34,7.0,0.058,35.0,90.0,5.7,0.18,3.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.41,1.0,0.41,0.0,0.0,0.0,0.0,0.0,0.41,1.3,0.408,0.0,0.0,8.0,0.0,0.98,0.0,0.0,88.9
"CAMPBELL'S CHUNKY Soups, Steak 'N' Potato Soup",100,0.8,0.2,6,376.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44,0.0,0.0,0.0,0.0,0.0,0.0,3.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.35,1.2,0.41,0.0,0.0,0.0,0.0,0.0,0.0,0.82,0.204,0.0,0.0,6.0,0.0,2.0,0.0,0.0,86.5
"Soy protein concentrate, produced by acid wash",100,0.5,0.1,0,900.0,0.0,340.0,0.0,0.716,0.057,0.142,0.316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.134,0.0,0.0,0.0,0.0,0.0,363.0,0.976,10.78,140.0,4.19,839.0,450.0,0.8,4.4,63.63,2.677,4.642,7.249,0.886,12.013,2.688,1.578,0.0,2.942,4.917,3.929,0.814,3.278,3.298,3.369,2.474,0.835,2.301,3.064,25.41,5.5,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46,0.052,0.079,0.201,0.0,0.0,4.7,0.0,0.0,5.8
"Tofu, prepared with calcium sulfate, firm, raw",100,8.7,1.3,0,14.0,0.0,29.0,0.0,0.381,0.133,0.102,0.158,166.0,0.0,0.0,0.0,0.0,0.0,0.0,0.092,0.2,0.0,0.0,0.0,0.0,683.0,0.378,2.66,58.0,1.181,190.0,237.0,17.4,1.57,17.27,0.773,1.369,2.036,0.057,3.288,0.733,0.431,0.0,0.849,1.392,0.883,0.211,0.835,1.084,1.015,0.785,0.235,0.701,0.87,2.78,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.72,1.261,1.925,4.921,0.0,0.0,1.4,0.0,0.0,69.83
"Babyfood, butternut squash and corn, vegetable",100,0.6,0.1,0,5.0,12.5,23.0,0.0,0.56,0.314,0.06,0.06,2793.0,140.0,362.0,1476.0,38.0,970.0,0.0,0.11,4.9,0.0,0.08,0.08,2.4,32.0,0.1,0.4,26.0,0.12,35.0,352.0,0.6,0.3,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.26,2.0,2.93,0.3,0.0,0.23,0.0,0.14,2.25,0.6,0.095,0.166,0.28,0.0,0.0,0.84,0.0,0.0,87.3
"Sweet potato, with salt, baked, cooked, frozen",100,0.1,,0,244.0,0.0,22.0,0.0,0.555,0.56,0.056,0.066,16410.0,821.0,0.0,0.0,0.0,0.0,0.0,0.186,9.1,0.0,0.0,0.0,0.0,35.0,0.183,0.54,21.0,0.665,44.0,377.0,0.6,0.3,1.71,0.094,0.08,0.293,0.014,0.168,0.078,0.032,0.0,0.086,0.126,0.084,0.042,0.103,0.075,0.089,0.085,0.021,0.07,0.112,23.4,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.026,0.005,0.053,0.0,0.0,1.07,0.0,0.0,73.7
"Turkey, raw, meat only, from whole bird, thigh",100,2.5,0.7,79,124.0,69.6,0.0,0.0,5.696,0.935,0.255,0.062,43.0,13.0,0.0,0.0,0.0,0.0,2.05,0.44,0.0,13.0,0.12,0.12,0.0,11.0,0.092,1.04,25.0,0.014,176.0,226.0,22.4,2.59,21.28,1.151,1.205,1.702,0.201,2.886,0.908,0.577,0.0,0.61,1.475,1.756,0.556,0.686,1.15,0.843,0.773,0.227,0.632,0.68,0.15,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.1,2.5,0.683,0.756,0.613,79.0,0.0,1.03,0.0,0.0,76.01
"Spinach, without salt, drained, boiled, cooked",100,0.3,,0,70.0,19.7,146.0,0.0,0.49,0.145,0.236,0.095,10481.0,524.0,0.0,6288.0,0.0,11308.0,0.0,0.242,9.8,0.0,2.08,2.08,493.6,136.0,0.174,3.57,87.0,0.935,56.0,466.0,1.5,0.76,2.97,0.147,0.168,0.25,0.035,0.357,0.14,0.066,0.0,0.152,0.231,0.182,0.055,0.134,0.116,0.107,0.127,0.04,0.113,0.168,3.75,2.4,0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.043,0.006,0.109,0.0,0.0,1.81,0.0,0.0,91.21
"Puddings, prepared with 2% milk, dry mix, rice",100,1.6,1.0,6,109.0,0.0,4.0,0.0,0.443,0.288,0.141,0.075,172.0,46.0,0.0,10.0,0.0,0.0,0.24,0.035,0.7,34.0,0.0,0.0,0.0,105.0,0.018,0.37,13.0,0.057,87.0,130.0,1.9,0.38,3.29,0.096,0.101,0.212,0.026,0.584,0.059,0.075,0.0,0.169,0.273,0.221,0.07,0.135,0.271,0.152,0.126,0.039,0.135,0.187,20.81,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.63,0.967,0.441,0.06,6.0,0.0,0.82,0.0,0.0,73.43
"Alcoholic beverage, Muscat, white, table, wine",100,0.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.8,0.21,0.0,0.0,85.69
"Taquitos, oven-heated, beef and cheese, frozen",100,13.0,2.6,11,456.0,18.9,68.0,63.0,3.537,0.342,0.309,0.331,284.0,35.0,1.0,103.0,36.0,119.0,0.28,0.179,0.0,1.0,1.25,1.25,22.0,97.0,0.102,2.67,24.0,0.362,137.0,174.0,15.4,1.05,9.4,0.36,0.44,0.56,0.19,2.432,0.39,0.24,0.0,0.35,0.681,0.41,0.17,0.42,0.901,0.41,0.26,0.1,0.23,0.4,33.46,2.8,1.66,0.3,0.0,0.24,0.0,0.83,0.3,12.79,2.621,5.127,4.187,11.0,0.0,1.89,0.0,0.0,42.45
"Turkey, roasted, cooked, dark meat, from whole",100,6.0,1.8,128,104.0,95.8,9.0,0.0,6.685,1.015,0.375,0.06,18.0,5.0,0.0,0.0,0.0,0.0,1.65,0.438,0.0,10.0,0.07,0.07,0.0,17.0,0.127,1.43,27.0,0.016,212.0,227.0,31.4,3.51,27.71,1.498,1.569,2.216,0.262,3.758,1.182,0.751,0.0,0.794,1.921,2.287,0.725,0.893,1.497,1.098,1.007,0.295,0.823,0.886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.04,1.807,2.061,1.662,128.0,0.0,1.12,0.0,0.0,65.23
